enemy_director.gd lines=131 
enemy_templates.gd lines=195 
utility_ai.gd lines=164 
combat_formulas.gd lines=115 
grid_system.gd lines=35 
pathfinding.gd lines=120 
vision_system.gd lines=97 
art_assets.gd lines=123 
game_data.gd lines=163 
local_map_data.gd lines=296 
procedural_generator.gd lines=559 
theme.gd lines=74 
action_system.gd lines=1098 
audio_manager.gd lines=210 
battle_controller.gd lines=841 
battle_visuals.gd lines=70 
game_manager.gd lines=267 
local_battle.gd lines=584 
turn_manager.gd lines=84 
unit.gd lines=230 
unit_sprite.gd lines=144 
map_loader.gd lines=90 
api_client.gd lines=136 
save_manager.gd lines=149 
action_menu.gd lines=69 
base_controller.gd lines=185 
character_panel.gd lines=198 
dialogue_system.gd lines=148 
hud.gd lines=545 
main_menu.gd lines=50 
mission_result.gd lines=104 
settings_menu.gd lines=132 
shop_panel.gd lines=160 
