category,generated_file,final_file,status,note
characters,portrait_architect.png,,PENDING,Need AI generated replacement
characters,portrait_assault.png,,PENDING,Need AI generated replacement
characters,portrait_assault_mech.png,,PENDING,Need AI generated replacement
characters,portrait_combat_medic.png,,PENDING,Need AI generated replacement
characters,portrait_data_sentinel.png,,PENDING,Need AI generated replacement
characters,portrait_drone_assault.png,,PENDING,Need AI generated replacement
characters,portrait_drone_bomber.png,,PENDING,Need AI generated replacement
characters,portrait_drone_scout.png,,PENDING,Need AI generated replacement
characters,portrait_flame_trooper.png,,PENDING,Need AI generated replacement
characters,portrait_heavy.png,,PENDING,Need AI generated replacement
characters,portrait_heavy_gunner.png,,PENDING,Need AI generated replacement
characters,portrait_heavy_judge.png,,PENDING,Need AI generated replacement
characters,portrait_jammer.png,,PENDING,Need AI generated replacement
characters,portrait_matrix_collider.png,,PENDING,Need AI generated replacement
characters,portrait_matrix_general.png,,PENDING,Need AI generated replacement
characters,portrait_medic.png,,PENDING,Need AI generated replacement
characters,portrait_poison_spitter.png,,PENDING,Need AI generated replacement
characters,portrait_rocket_trooper.png,,PENDING,Need AI generated replacement
characters,portrait_scout.png,,PENDING,Need AI generated replacement
characters,portrait_sentry_basic.png,,PENDING,Need AI generated replacement
characters,portrait_sentry_elite.png,,PENDING,Need AI generated replacement
characters,portrait_sentry_sniper.png,,PENDING,Need AI generated replacement
characters,portrait_shadow_mercenary.png,,PENDING,Need AI generated replacement
characters,portrait_shield_bot.png,,PENDING,Need AI generated replacement
characters,portrait_shield_maestro.png,,PENDING,Need AI generated replacement
characters,portrait_siege_mech.png,,PENDING,Need AI generated replacement
characters,portrait_sniper.png,,PENDING,Need AI generated replacement
characters,portrait_sniper_elite.png,,PENDING,Need AI generated replacement
characters,portrait_stealth_assassin.png,,PENDING,Need AI generated replacement
characters,portrait_stealth_drone.png,,PENDING,Need AI generated replacement
effects,attack_highlight.png,,PENDING,Need AI generated replacement
effects,barrier.png,,PENDING,Need AI generated replacement
effects,buff.png,,PENDING,Need AI generated replacement
effects,critical.png,,PENDING,Need AI generated replacement
effects,debuff.png,,PENDING,Need AI generated replacement
effects,explosion.png,,PENDING,Need AI generated replacement
effects,heal.png,,PENDING,Need AI generated replacement
effects,hit.png,,PENDING,Need AI generated replacement
effects,move_highlight.png,,PENDING,Need AI generated replacement
effects,muzzle_flash.png,,PENDING,Need AI generated replacement
effects,overwatch_highlight.png,,PENDING,Need AI generated replacement
effects,shield.png,,PENDING,Need AI generated replacement
effects,skill_highlight.png,,PENDING,Need AI generated replacement
effects,smoke.png,,PENDING,Need AI generated replacement
effects,teleport.png,,PENDING,Need AI generated replacement
tiles,theme_city_ruins.png,,PENDING,Need AI generated replacement
tiles,theme_desert.png,,PENDING,Need AI generated replacement
tiles,theme_desert_outpost.png,,PENDING,Need AI generated replacement
tiles,theme_snow.png,,PENDING,Need AI generated replacement
tiles,theme_snow_base.png,,PENDING,Need AI generated replacement
tiles,theme_underground.png,,PENDING,Need AI generated replacement
tiles,theme_warehouse.png,,PENDING,Need AI generated replacement
